Field,English,German,Italian,Slovenian,Polish
10,Contact tracing and quarantine is not feasible at high prevalence:,Kontaktnachverfolgung und Quarantäne sind bei hohen Fallzahlen nicht durchführbar:,Tracciamento dei contatti e quarantena diventano ingestibili con un’elevata prevalenza: ,Sledenje stikov in karantena pri visoki razširjenosti nista izvedljiva:,?ledzenie kontaktów i kwarantanna s? niewykonalne przy wysokiej liczbie zaka?e?:
11,"Assuming a state with 300 new cases per million per day, 10 contacts per case, and 10 days quarantine: Then 3% of the population would need to be in quarantine, resulting in strong reductions of the workforce.","Nehmen wir an es gibt in einem Land 300 neue Fällen pro Million Einwohnern pro Tag, 10 Kontakten pro Fall und 10 Tagen Quarantäne: Dann müssten 3 % der Bevölkerung in Quarantäne sein, was zu einer starken Reduzierung der Arbeitskräfte führen würde. ","Immaginando una situazione con 300 nuovi casi per milione al giorno, 10 contatti per caso, e 10 giorni di quarantena, il 3% della popolazione dovrebbe essere in quarantena, con una conseguente forte riduzione della forza lavoro.","Predpostavimo državo s 300 novimi primeri na milijon na dan, z 10-imi stiki na primer in 10-dnevno karanteno: Potem bi moralo biti v karanteni 3% prebivalstva, kar bi povzro?ilo mo?no zmanjšanje delovne sile. 	","zak?adaj?c w jednym kraju 300 nowych przypadków na milion mieszka?ców dziennie, 10 kontaktów na przypadek i 10 dni kwarantanny, kwarantannie musia?oby si? podda? 3% populacji, co spowodowa?oby znaczny ubytek liczby osób pracuj?cych."
12,Aiming for naturally acquired population immunity is not an option ,"Eine natürlich erworbene Immunität der Bevölkerung anzustreben, ist keine Option ",Mirare a un’immunità di gregge acquisita naturalmente non è possibile ,Ciljanje na naravno pridobljeno populacijsko imunost ni sprejemljiva možnost ,Oczekiwanie na nabycie przez populacj? odporno?ci zbiorowej jest wykluczone 
13,"The heavy burden in terms of morbidity and mortality, reflected also in the current excess mortality, and the uncertain duration of immunity ","Die hohe Belastung bezüglich Morbidität und Mortalität, die sich auch in der aktuellen Übersterblichkeit widerspiegelt, und die ungewisse Dauer der Immunität","Il peso enorme in termini di morbidità e mortalità, ben visibile anche nell’attuale eccesso di mortalità, e l’incerta durata dell’immunità ","Težko breme hudih oblik bolezni in umrljivosti, ki se odraža tudi v trenutni presežni umrljivosti, in negotovo trajanje imunosti 	","poniewa?: (i) zaka?enia SARS-CoV-2 wi??? si? z wysokim obci??eniem zwi?zanym z zachorowalno?ci? i ?miertelno?ci?, co ju? znajduje odzwierciedlenie w obecnej nadmiernej liczbie zgonów, oraz (ii) okres utrzymywania si? nabytej odporno?ci jest niepewny "
14,should strongly discourage this approach.,sollten von diesem Ansatz dringend abraten. ,devono fortemente scoraggiare questo approccio.     ,bi morali mo?no odvra?ati od tega pristopa.	,
15,Planning is possible:,Planbarkeit ist gegeben:,Pianificare è possibile: ,Na?rtovanje je mogo?e: ,Planowanie jest mo?liwe: 
16,"When case numbers are low, there is no need for rapid policy changes. This reduces the economic damage and the uncertainty and strain on mental health. However, if case numbers rise too high, preventive measures must be taken decisively to reduce them again - and the earlier, the better. ","Wenn die Fallzahlen niedrig sind, besteht keine Notwendigkeit für schnelle Änderungen der Politik. Dies reduziert den wirtschaftlichen Schaden, die Unsicherheit und die Belastung für die psychische Gesundheit. Steigen die Fallzahlen jedoch zu stark an, müssen präventive Maßnahmen entschlossen ergriffen werden, um sie wieder zu senken - und je früher, desto besser ","Quando il numero di casi è mantenuto basso, non è necessario cambiare le politiche in modo rapido e improvviso. Questo riduce il danno economico, l’incertezza e lo stress per la salute mentale. Tuttavia, se il numero di casi aumenta troppo, bisogna attuare misure preventive in modo rapido e deciso per abbassarlo di nuovo – e prima le si attua, meglio è ","Ko je število primerov malo, hitre spremembe politike niso potrebne. To zmanjšuje gospodarsko škodo in negotovost, kakor tudi obremenitev duševnega zdravja. ?e pa število primerov preve? naraste, je treba odlo?no sprejeti preventivne ukrepe, da bi širjenje znova obvladali - in to ?im prej tem bolje ","gdy liczba zaka?e? jest niska, nie s? potrzebne gwa?towne zmiany polityki. Zmniejsza to straty ekonomiczne oraz niepewno?? i obci??enie dla zdrowia psychicznego ludzi. Je?li jednak liczba przypadków nadmiernie wzro?nie, nale?y podj?? zdecydowane dzia?ania zapobiegawcze, aby j? ponownie obni?y? – i im wcze?niej, tym lepiej "
17,"To better manage the COVID-19 pandemic, we propose a strategy with three core elements:","Um mit der COVID-19-Pandemie besser zu umzugehen, schlagen wir eine Strategie mit drei Kernelementen vor:","Per gestire meglio la pandemia di COVID-19, proponiamo una strategia basata su tre elementi fondamentali:",Za boljše obvladovanje pandemije COVID-19 predlagamo strategijo s tremi klju?nimi elementi:,"Aby lepiej zarz?dza? pandemi? COVID-19, proponujemy strategi? sk?adaj?c? si? z trzech podstawowych elementów:"
18,Achieve low case numbers.,Niedrige Fallzahlen erreichen.,Arrivare a un basso numero di casi.,"Dosežimo majhno število primerov.
",Osi?gni?cie niskiej liczby zaka?e?. 
19,"Aim for a target of 10 new COVID-19 cases or less per million people per day. This target has already been reached in many countries, and can be reached again throughout Europe by spring, at the latest.",Es soll ein Ziel von nicht mehr als 10 neuen COVID-19-Fällen pro Million Menschen pro Tag angestrebt werden. Dieses Ziel wurde in vielen Ländern erreicht und kann in ganz Europa spätestens im Frühjahr wieder erreicht werden.,"Puntare a un obiettivo di non più di 10 nuovi casi di COVID-19 per milione di persone al giorno. Questo obiettivo è stato raggiunto in passato in molti Paesi, e può essere raggiunto di nuovo in tutta Europa, entro la primavera al più tardi.
","Cilj je najve? 10 novih primerov COVID-19 na milijon ljudi na dan. Ta cilj je bil dosežen v mnogih državah, najpozneje do pomladi pa ga je mogo?e ponovno dose?i po vsej Evropi. ",Nale?y wyznaczy? cel polegaj?cy na utrzymaniu maksymalnej liczby 10 nowych przypadków COVID-19 na milion osób dziennie. Cel ten zosta? ju? osi?gni?ty w wielu krajach i mo?e zosta? ponownie osi?gni?ty w ca?ej Europie najpó?niej do wiosny. 
20,"Take firm action to reduce case numbers quickly. Strong interventions have proven efficient, and balance the rapid achievement of low case numbers against the negative impact of the interventions on mental health and the economy.","Um die Fallzahlen schnell zu reduzieren, muss entschlossen gehandelt werden. Starke Maßnahmen haben sich als effizient erwiesen und stellen das schnelle Erreichen niedriger Fallzahlen in ein ausgewogenes Verhältnis zu den Belastungen für die psychische Gesundheit und die Wirtschaft.",Agire con decisione per ridurre rapidamente il numero di casi. Interventi forti si sono dimostrati efficaci e sono un buon compromesso tra il rapido raggiungimento di un basso numero di casi e lo stress per la salute mentale e l’economia. ,"Ukrepati je potrebno odlo?no, da se bo število primerov hitro manjšalo. Odlo?ne in stroge intervencije so se izkazale za u?inkovite, še posebej v lu?i ravnotežja med hitrim doseganjem upada primerov in obremenitve za duševno zdravje in gospodarstvo. ","Nale?y podj?? zdecydowane dzia?ania w celu szybkiego zmniejszenia liczby zaka?e?. Zdecydowane ?rodki okaza?y si? skuteczne i pozwalaj? zrównowa?y? szybkie osi?gni?cie niskiej liczby przypadków z negatywnym wp?ywem obostrze? na zdrowie psychiczne ludzi i na gospodark?.	 
"
21,"To avoid a ping-pong effect by importing and reimporting SARS-CoV-2 infections, the reduction should be synchronized across all European countries and start as soon as possible. This synchronization will allow European borders to stay open.","Um einen Ping-Pong-Effekt von importierten und reimportierten SARS-CoV-2-Infektionen zu vermeiden, sollte die Reduzierung in allen europäischen Ländern synchronisiert werden und so schnell wie möglich beginnen. Diese Synchronisierung wird es ermöglichen, dass die europäischen Grenzen offen bleiben.","Per evitare un effetto ping-pong di importazione e reimportazione di infezioni da SARS-CoV-2, la riduzione dei casi dovrebbe essere sincronizzata in tutti i Paesi europei e cominciare il prima possibile. Questa sincronizzazione consentirà ai confini europei di rimanere aperti senza problemi.","Da bi se izognili ping-pong u?inku uvoza in ponovnega uvoza okužb s SARS-CoV-2, je potrebno ukrepe in z njimi povezano zmanjšane števila primerov uskladiti v vseh evropskih državah, in to ?im prej. Ta usklajenost bo evropskim mejam omogo?ila, da ostanejo odprte.","Aby unikn?? tzw. efektu jojo zwi?zanego z przywo?eniem i ponownym przywo?eniem wirusa SARS-CoV-2 z zagranicy, ograniczenie liczby zaka?e? powinno zosta? zsynchronizowane we wszystkich krajach europejskich i nale?y je osi?gn?? jak najszybciej. Synchronizacja ta pozwoli na utrzymanie w Europie otwartych granic."
22,Keep case numbers low.,Fallzahlen niedrig halten.,"Mantenere basso il numero dei casi.
","Ohranjajmo majhno število primerov.
",Utrzymanie niskiej liczby zaka?e?. 
23,"At low case numbers, restrictions may be eased, but this should be carefully monitored. Targeted mitigation measures, such as mask wearing, hygiene, contact regulation and TTIS will be continued and improved.","Wenn die Fallzahlen niedrig sind, ist eine Lockerung der Beschränkungen möglich, sollte aber sorgfältig überwacht werden. Gezielte Eindämmungsmaßnahmen, wie das Tragen von Masken, Hygiene, moderate Kontaktreduzierung, Tests und die Rückverfolgung von Kontakten, sollten fortgesetzt und verbessert werden.","Quando il numero di casi è basso, un allentamento delle restrizioni è possibile, ma deve essere attentamente monitorato. Bisogna continuare ad adottare, e migliorare, le misure di mitigazione mirate: indossare la mascherina, igiene, moderata riduzione dei contatti, test e tracciamento dei contatti. ","?e je število primerov majhno, je mogo?e ublažiti omejitve, vendar jih je potrebno tudi skrbno spremljati. Nadaljujmo in izboljšajmo ciljno usmerjene preventivne ukrepe, kot so nošenje mask, higiena, zmerno zmanjšanje stikov, testiranje in sledenje stikom.
","Przy niskiej liczbie zaka?e? mo?na z?agodzi? obostrzenia, ale nale?y uwa?nie monitorowa? sytuacj?. Ukierunkowane ?rodki ?agodz?ce, takie jak noszenie maseczek, przestrzeganie zasad higieny, regulacje dotycz?ce kontaktów fizycznych oraz strategia polegaj?ca na testowaniu, ?ledzeniu, izolowaniu i wspieraniu, b?d? kontynuowane i udoskonalane."
24,"Even if case numbers are low, a strategy for surveillance testing (of at least 300 tests per million people per day) should be in place, covering the most important population groups at risk so that an increase in case numbers  can be detected in time.","Auch wenn die Fallzahlen niedrig sind, sollte eine Strategie für Überwachungstests (mindestens 300 Tests pro Million Menschen pro Tag) vorhanden sein, damit ein Anstieg der Fallzahlen rechtzeitig erkannt werden kann.","Anche se il numero di casi è basso, una campagna di test di sorveglianza (come minimo 300 test per milione di persone al giorno) deve essere sempre attiva, in modo che un aumento nel numero di casi possa essere rilevato tempestivamente. ","Tudi ?e je število primerov majhno, bi morala obstajati strategija za nadzorno testiranje (najmanj 300 testov na milijon ljudi na dan), tako da bi lahko pravo?asno zaznali pove?anje števila primerov.","Nawet przy niskiej liczbie przypadków nale?y wprowadzi? strategi? testów kontrolnych (co najmniej 300 testów na milion osób dziennie) ukierunkowan? na najbardziej zagro?one grupy ludno?ci, aby mo?na by?o wystarczaj?co wcze?nie wykry? wzrost liczby zaka?e?."
25,"Local outbreaks require a rapid and rigorous response, including travel restrictions, targeted testing, and possibly regional lockdowns, to achieve a rapid reduction in prevalence.","Lokale Ausbrüche erfordern eine schnelle und gründliche Reaktion, einschließlich Reisebeschränkungen, gezielte Tests und möglicherweise regionale Abriegelungen, um eine schnelle Reduzierung der Prävalenz zu erreichen.","Focolai locali vanno affrontati con una risposta rapida e rigorosa, che comprende restrizioni di viaggio, test mirati, e se necessario lockdown regionali, così da ottenere una rapida riduzione della prevalenza.","Lokalni izbruhi zahtevajo hiter in strog odziv, vklju?no z omejitvami potovanja, usmerjenim testiranjem in po možnosti regionalnimi zaporami, da se doseže hitro zmanjšanje razširjenosti.","Lokalne ogniska zaka?e? wymagaj? szybkiej i zdecydowanej reakcji, w tym ogranicze? w podró?owaniu, ukierunkowanego testowania i potencjalnie lokalnego zamkni?cia gospodarki, w celu szybkiego zmniejszenia liczby nowych zaka?e?."
26,Develop a longer-term common vision.,"Eine gemeinsame, langfristige Vision entwickeln.","Sviluppare una visione comune di lungo termine. 
","Razvijmo dolgoro?no skupno vizijo. 
",Wypracowanie d?ugoterminowej wspólnej wizji. 
27,"Develop context-sensitive regional and national action plans as well as European-level goals, depending on the COVID-19 prevalence. Develop strategies for elimination, screening, vaccination, protection of those at high risk, and support for those most affected by the COVID-19 pandemic ","Es müssen kontextabhängige regionale und nationale Aktionspläne sowie Ziele auf europäischer Ebene geschaffen werden. Diese sollen Maßnahmen abhängig von der COVID-19-Prävalenz vorschreiben. Es müssen Strategien zur Eliminierung, zum Screening, zu Impfungen, zum Schutz der Risikogruppen und zur Unterstützung der am stärksten von der COVID-19-Pandemie Betroffenen erarbeitet werden","Sviluppare piani di azione nazionali e regionali, ben attagliati al contesto locale, e obiettivi a livello europeo, adeguati a seconda della prevalenza di COVID-19. Elaborare strategie per l’eliminazione, il monitoraggio, la vaccinazione, la protezione delle persone ad alto rischio, e il supporto per i più colpiti dalla pandemia di COVID-19 ","Razvijmo regionalne in nacionalne akcijske na?rte ter cilje na evropski ravni v odvisnosti od razširjenosti COVID-19. Oblikujmo strategije za izlo?anje, nadzorovanje, cepljenje, zaš?ito tveganih in podporo tistim, ki jih pandemija COVID-19 najbolj prizadene ","Nale?y opracowa? regionalne i krajowe plany dzia?ania uwzgl?dniaj?ce specyfik? lokaln?, a tak?e wyznaczy? cele na poziomie europejskim w zale?no?ci od rozpowszechnienia COVID-19. Nale?y opracowa? strategie eliminacji, bada? przesiewowych, szczepie?, ochrony osób z grupy wysokiego ryzyka oraz wsparcia dla osób najbardziej dotkni?tych pandemi? COVID-19 "
28,It is crucial to clearly communicate the advantage of low SARS-CoV-2 incidence. ,"Es ist entscheidend, das Ziel und den Vorteil von niedrigen Fallzahlen klar zu kommunizieren, um die Kooperation der Öffentlichkeit zu fördern.",Comunicare chiaramente l’obiettivo e il vantaggio di un numero basso di casi è cruciale per promuovere la cooperazione pubblica.,Za pospeševanje javnega sodelovanja je bistvenega pomena jasno komunicirati cilj in prednosti majhnega števila primerov.,"Istotne jest, aby w jasny sposób komunikowa? zalety niskiego wspó?czynnika zachorowalno?ci na COVID-19."
29,"The success of these measures depends crucially on the cooperation and involvement of the public. Making the case for the economic and social benefits of reducing case numbers will, if clearly communicated, greatly foster public cooperation.","Der Erfolg dieser Maßnahmen hängt entscheidend von der Kooperation und Beteiligung der Öffentlichkeit ab. Wenn die wirtschaftlichen und sozialen Vorteile einer Senkung der Fallzahlen klar kommuniziert werden, wird dies die öffentliche Kooperation stark fördern.","Il successo di queste misure dipende in modo chiave dalla cooperazione e dal coinvolgimento della popolazione. Perorare la causa del beneficio economico e sociale derivante dalla riduzione nel numero di casi, grazie a una comunicazione efficace, promuoverà notevolmente la cooperazione pubblica.","Uspeh teh ukrepov je mo?no odvisen od sodelovanja in vklju?enosti javnosti. Ukrepanje v korist ekonomskih in socialnih koristi zmanjšanja števila primerov bo, ?e bo jasno skomunicirano, mo?no spodbudilo javno sodelovanje.",Powodzenie tych dzia?a? zale?y przede wszystkim od wspó?pracy ze strony spo?ecze?stwa. Klarowne przedstawienie argumentów przemawiaj?cych za korzy?ciami gospodarczymi i spo?ecznymi wynikaj?cymi z ograniczenia liczby przypadków znacznie u?atwi t? wspó?prac?.
30,Controlling COVID-19 will become easier: ,Die Kontrolle von COVID-19 wird einfacher werden:,Controllare COVID-19 diventerà più facile:,Nadzor nad COVID-19 bo vse lažji:,Opanowanie pandemii COVID-19 stanie si? ?atwiejsze: 
31,"In the near future, increased immunization, more testing, and an improved understanding of mitigation strategies will further facilitate the control of SARS-CoV-2.","In naher Zukunft werden steigende Immunisierung, mehr Tests und ein verbessertes Verständnis der Eindämmungsstrategien die Kontrolle von COVID-19 weiter erleichtern.","Nel prossimo futuro, un’accresciuta immunizzazione, più test e una migliore comprensione delle strategie di mitigazione faciliteranno ulteriormente il controllo di COVID-19.","V bližnji prihodnosti bodo pove?ana imunizacija, ve? testiranj in boljše razumevanje strategij za ublažitev olajšali nadzor nad COVID-19.","w niedalekiej przysz?o?ci zwalczanie SARS-CoV-2 b?dzie jeszcze ?atwiejsze dzi?ki zwi?kszonej odporno?ci, wi?kszej liczbie testów i lepszemu zrozumieniu strategii ?agodzenia skutków. "
