Field,English,German,Italian,Slovenian,Polish,
10,Contact tracing and quarantine is not feasible at high prevalence:,Kontaktnachverfolgung und Quarant�ne sind bei hohen Fallzahlen nicht durchf�hrbar:,Tracciamento dei contatti e quarantena diventano ingestibili con un’elevata prevalenza: ,Sledenje stikov in karantena pri visoki razširjenosti nista izvedljiva: ,Śledzenie kontaktów i kwarantanna są niewykonalne przy wysokiej liczbie zakażeń: ,
11,"Assuming a state with 300 new cases per million per day, 10 contacts per case, and 10 days quarantine: Then 3% of the population would need to be in quarantine, resulting in strong reductions of the workforce.","Nehmen wir an es gibt in einem Land 300 neue F�llen pro Million Einwohnern pro Tag, 10 Kontakten pro Fall und 10 Tagen Quarant�ne: Dann m�ssten 3 % der Bev�lkerung in Quarant�ne sein, was zu einer starken Reduzierung der Arbeitskr�fte f�hren w�rde. ","Immaginando una situazione con 300 nuovi casi per milione al giorno, 10 contatti per caso, e 10 giorni di quarantena, il 3% della popolazione dovrebbe essere in quarantena, con una conseguente forte riduzione della forza lavoro.","Predpostavimo državo s 300 novimi primeri na milijon na dan, z 10-imi stiki na primer in 10-dnevno karanteno: Potem bi moralo biti v karanteni 3% prebivalstva, kar bi povzročilo močno zmanjšanje delovne sile. ","zakładając w jednym kraju 300 nowych przypadków na milion mieszkańców dziennie, 10 kontaktów na przypadek i 10 dni kwarantanny, kwarantannie musiałoby się poddać 3% populacji, co spowodowałoby znaczny ubytek liczby osób pracujących.",
12,Aiming for naturally acquired population immunity is not an option ,"Eine nat�rlich erworbene Immunit�t der Bev�lkerung anzustreben, ist keine Option ",Mirare a un’immunità di gregge acquisita naturalmente non è possibile,Ciljanje na naravno pridobljeno populacijsko imunost ni sprejemljiva možnost,Oczekiwanie na nabycie przez populację odporności zbiorowej jest wykluczone ,
13,"The heavy burden in terms of morbidity and mortality, reflected also in the current excess mortality, and the uncertain duration of immunity ","Die hohe Belastung bez�glich Morbidit�t und Mortalit�t, die sich auch in der aktuellen �bersterblichkeit widerspiegelt, und die ungewisse Dauer der Immunit�t","Il peso enorme in termini di morbidità e mortalità, ben visibile anche nell’attuale eccesso di mortalità, e l’incerta durata dell’immunità","Težko breme hudih oblik bolezni in umrljivosti, ki se odraža tudi v trenutni presežni umrljivosti, in negotovo trajanje imunosti ","ponieważ: (i) zakażenia SARS-CoV-2 wiążą się z wysokim obciążeniem związanym z zachorowalnością i śmiertelnością, co już znajduje odzwierciedlenie w obecnej nadmiernej liczbie zgonów, oraz (ii) okres utrzymywania się nabytej odporności jest niepewny",
14,should strongly discourage this approach.,sollten von diesem Ansatz dringend abraten. ,devono fortemente scoraggiare questo approccio.     ,bi morali močno odvračati od tega pristopa.,Planowanie jest możliwe: ,
15,Planning is possible:,Planbarkeit ist gegeben:,Pianificare è possibile: ,Načrtovanje je mogoče: ,Planowanie jest możliwe: ,
16,"When case numbers are low, there is no need for rapid policy changes. This reduces the economic damage and the uncertainty and strain on mental health. However, if case numbers rise too high, preventive measures must be taken decisively to reduce them again - and the earlier, the better. ","Wenn die Fallzahlen niedrig sind, besteht keine Notwendigkeit f�r schnelle �nderungen der Politik. Dies reduziert den wirtschaftlichen Schaden, die Unsicherheit und die Belastung f�r die psychische Gesundheit. Steigen die Fallzahlen jedoch zu stark an, m�ssen pr�ventive Ma�nahmen entschlossen ergriffen werden, um sie wieder zu senken - und je fr�her, desto besser ","Quando il numero di casi è mantenuto basso, non è necessario cambiare le politiche in modo rapido e improvviso. Questo riduce il danno economico, l’incertezza e lo stress per la salute mentale. Tuttavia, se il numero di casi aumenta troppo, bisogna attuare misure preventive in modo rapido e deciso per abbassarlo di nuovo – e prima le si attua, meglio è ","Ko je število primerov malo, hitre spremembe politike niso potrebne. To zmanjšuje gospodarsko škodo in negotovost, kakor tudi obremenitev duševnega zdravja. Če pa število primerov preveč naraste, je treba odločno sprejeti preventivne ukrepe, da bi širjenje znova obvladali - in to čim prej tem bolje","gdy liczba zakażeń jest niska, nie są potrzebne gwałtowne zmiany polityki. Zmniejsza to straty ekonomiczne oraz niepewność i obciążenie dla zdrowia psychicznego ludzi. Jeśli jednak liczba przypadków nadmiernie wzrośnie, należy podjąć zdecydowane działania zapobiegawcze, aby ją ponownie obniżyć – i im wcześniej, tym lepiej",
17,"To better manage the COVID-19 pandemic, we propose a strategy with three core elements:","Um mit der COVID-19-Pandemie besser zu umzugehen, schlagen wir eine Strategie mit drei Kernelementen vor:","Per gestire meglio la pandemia di COVID-19, proponiamo una strategia basata su tre elementi fondamentali:",Za boljše obvladovanje pandemije COVID-19 predlagamo strategijo s tremi ključnimi elementi:,"Aby lepiej zarządzać pandemią COVID-19, proponujemy strategię składającą się z trzech podstawowych elementów:",
18,Achieve low case numbers.,Niedrige Fallzahlen erreichen.,Arrivare a un basso numero di casi.,Dosežimo majhno število primerov.,Osiągnięcie niskiej liczby zakażeń. ,
19,"Aim for a target of 10 new COVID-19 cases or less per million people per day. This target has already been reached in many countries, and can be reached again throughout Europe by spring, at the latest.",Es soll ein Ziel von nicht mehr als 10 neuen COVID-19-F�llen pro Million Menschen pro Tag angestrebt werden. Dieses Ziel wurde in vielen L�ndern erreicht und kann in ganz Europa sp�testens im Fr�hjahr wieder erreicht werden.,"Puntare a un obiettivo di non più di 10 nuovi casi di COVID-19 per milione di persone al giorno. Questo obiettivo è stato raggiunto in passato in molti Paesi, e può essere raggiunto di nuovo in tutta Europa, entro la primavera al più tardi.","Cilj je največ 10 novih primerov COVID-19 na milijon ljudi na dan. Ta cilj je bil dosežen v mnogih državah, najpozneje do pomladi pa ga je mogoče ponovno doseči po vsej Evropi. ",Należy wyznaczyć cel polegający na utrzymaniu maksymalnej liczby 10 nowych przypadków COVID-19 na milion osób dziennie. Cel ten został już osiągnięty w wielu krajach i może zostać ponownie osiągnięty w całej Europie najpóźniej do wiosny., 
20,"Take firm action to reduce case numbers quickly. Strong interventions have proven efficient, and balance the rapid achievement of low case numbers against the negative impact of the interventions on mental health and the economy.","Um die Fallzahlen schnell zu reduzieren, muss entschlossen gehandelt werden. Starke Ma�nahmen haben sich als effizient erwiesen und stellen das schnelle Erreichen niedriger Fallzahlen in ein ausgewogenes Verh�ltnis zu den Belastungen f�r die psychische Gesundheit und die Wirtschaft.",Agire con decisione per ridurre rapidamente il numero di casi. Interventi forti si sono dimostrati efficaci e sono un buon compromesso tra il rapido raggiungimento di un basso numero di casi e lo stress per la salute mentale e l’economia.,"Ukrepati je potrebno odločno, da se bo število primerov hitro manjšalo. Odločne in stroge intervencije so se izkazale za učinkovite, še posebej v luči ravnotežja med hitrim doseganjem upada primerov in obremenitve za duševno zdravje in gospodarstvo.",Należy podjąć zdecydowane działania w celu szybkiego zmniejszenia liczby zakażeń. Zdecydowane środki okazały się skuteczne i pozwalają zrównoważyć szybkie osiągnięcie niskiej liczby przypadków z negatywnym wpływem obostrzeń na zdrowie psychiczne ludzi i na gospodarkę., 
21,"To avoid a ping-pong effect by importing and reimporting SARS-CoV-2 infections, the reduction should be synchronized across all European countries and start as soon as possible. This synchronization will allow European borders to stay open.","Um einen Ping-Pong-Effekt von importierten und reimportierten SARS-CoV-2-Infektionen zu vermeiden, sollte die Reduzierung in allen europ�ischen L�ndern synchronisiert werden und so schnell wie m�glich beginnen. Diese Synchronisierung wird es erm�glichen, dass die europ�ischen Grenzen offen bleiben.","Per evitare un effetto ping-pong di importazione e reimportazione di infezioni da SARS-CoV-2, la riduzione dei casi dovrebbe essere sincronizzata in tutti i Paesi europei e cominciare il prima possibile. Questa sincronizzazione consentirà ai confini europei di rimanere aperti senza problemi.","Da bi se izognili ping-pong učinku uvoza in ponovnega uvoza okužb s SARS-CoV-2, je potrebno ukrepe in z njimi povezano zmanjšane števila primerov uskladiti v vseh evropskih državah, in to čim prej. Ta usklajenost bo evropskim mejam omogočila, da ostanejo odprte.","Aby uniknąć tzw. efektu jojo związanego z przywożeniem i ponownym przywożeniem wirusa SARS-CoV-2 z zagranicy, ograniczenie liczby zakażeń powinno zostać zsynchronizowane we wszystkich krajach europejskich i należy je osiągnąć jak najszybciej. Synchronizacja ta pozwoli na utrzymanie w Europie otwartych granic.",
22,Keep case numbers low.,Fallzahlen niedrig halten.,Mantenere basso il numero dei casi.,Ohranjajmo majhno število primerov.,Utrzymanie niskiej liczby zakażeń. ,
23,"At low case numbers, restrictions may be eased, but this should be carefully monitored. Targeted mitigation measures, such as mask wearing, hygiene, contact regulation and TTIS will be continued and improved.","Wenn die Fallzahlen niedrig sind, ist eine Lockerung der Beschr�nkungen m�glich, sollte aber sorgf�ltig �berwacht werden. Gezielte Eind�mmungsma�nahmen, wie das Tragen von Masken, Hygiene, moderate Kontaktreduzierung, Tests und die R�ckverfolgung von Kontakten, sollten fortgesetzt und verbessert werden.","Quando il numero di casi è basso, un allentamento delle restrizioni è possibile, ma deve essere attentamente monitorato. Bisogna continuare ad adottare, e migliorare, le misure di mitigazione mirate: indossare la mascherina, igiene, moderata riduzione dei contatti, test e tracciamento dei contatti.","Če je število primerov majhno, je mogoče ublažiti omejitve, vendar jih je potrebno tudi skrbno spremljati. Nadaljujmo in izboljšajmo ciljno usmerjene preventivne ukrepe, kot so nošenje mask, higiena, zmerno zmanjšanje stikov, testiranje in sledenje stikom.","Przy niskiej liczbie zakażeń można złagodzić obostrzenia, ale należy uważnie monitorować sytuację. Ukierunkowane środki łagodzące, takie jak noszenie maseczek, przestrzeganie zasad higieny, regulacje dotyczące kontaktów fizycznych oraz strategia polegająca na testowaniu, śledzeniu, izolowaniu i wspieraniu, będą kontynuowane i udoskonalane.",
24,"Even if case numbers are low, a strategy for surveillance testing (of at least 300 tests per million people per day) should be in place, covering the most important population groups at risk so that an increase in case numbers  can be detected in time.","Auch wenn die Fallzahlen niedrig sind, sollte eine Strategie f�r �berwachungstests (mindestens 300 Tests pro Million Menschen pro Tag) vorhanden sein, damit ein Anstieg der Fallzahlen rechtzeitig erkannt werden kann.","Anche se il numero di casi è basso, una campagna di test di sorveglianza (come minimo 300 test per milione di persone al giorno) deve essere sempre attiva, in modo che un aumento nel numero di casi possa essere rilevato tempestivamente.","Tudi če je število primerov majhno, bi morala obstajati strategija za nadzorno testiranje (najmanj 300 testov na milijon ljudi na dan), tako da bi lahko pravočasno zaznali povečanje števila primerov.","Nawet przy niskiej liczbie przypadków należy wprowadzić strategię testów kontrolnych (co najmniej 300 testów na milion osób dziennie) ukierunkowaną na najbardziej zagrożone grupy ludności, aby można było wystarczająco wcześnie wykryć wzrost liczby zakażeń.",
25,"Local outbreaks require a rapid and rigorous response, including travel restrictions, targeted testing, and possibly regional lockdowns, to achieve a rapid reduction in prevalence.","Lokale Ausbr�che erfordern eine schnelle und gr�ndliche Reaktion, einschlie�lich Reisebeschr�nkungen, gezielte Tests und m�glicherweise regionale Abriegelungen, um eine schnelle Reduzierung der Pr�valenz zu erreichen.","Focolai locali vanno affrontati con una risposta rapida e rigorosa, che comprende restrizioni di viaggio, test mirati, e se necessario lockdown regionali, così da ottenere una rapida riduzione della prevalenza.","Lokalni izbruhi zahtevajo hiter in strog odziv, vključno z omejitvami potovanja, usmerjenim testiranjem in po možnosti regionalnimi zaporami, da se doseže hitro zmanjšanje razširjenosti","Lokalne ogniska zakażeń wymagają szybkiej i zdecydowanej reakcji, w tym ograniczeń w podróżowaniu, ukierunkowanego testowania i potencjalnie lokalnego zamknięcia gospodarki, w celu szybkiego zmniejszenia liczby nowych zakażeń.",
26,Develop a longer-term common vision.,"Eine gemeinsame, langfristige Vision entwickeln.",Sviluppare una visione comune di lungo termine. ,Razvijmo dolgoročno skupno vizijo. ,Wypracowanie długoterminowej wspólnej wizji. ,
27,"Develop context-sensitive regional and national action plans as well as European-level goals, depending on the COVID-19 prevalence. Develop strategies for elimination, screening, vaccination, protection of those at high risk, and support for those most affected by the COVID-19 pandemic ","Es m�ssen kontextabh�ngige regionale und nationale Aktionspl�ne sowie Ziele auf europ�ischer Ebene geschaffen werden. Diese sollen Ma�nahmen abh�ngig von der COVID-19-Pr�valenz vorschreiben. Es m�ssen Strategien zur Eliminierung, zum Screening, zu Impfungen, zum Schutz der Risikogruppen und zur Unterst�tzung der am st�rksten von der COVID-19-Pandemie Betroffenen erarbeitet werden","Sviluppare piani di azione nazionali e regionali, ben attagliati al contesto locale, e obiettivi a livello europeo, adeguati a seconda della prevalenza di COVID-19. Elaborare strategie per l’eliminazione, il monitoraggio, la vaccinazione, la protezione delle persone ad alto rischio, e il supporto per i più colpiti dalla pandemia di COVID-19 ","Razvijmo regionalne in nacionalne akcijske načrte ter cilje na evropski ravni v odvisnosti od razširjenosti COVID-19. Oblikujmo strategije za izločanje, nadzorovanje, cepljenje, zaščito tveganih in podporo tistim, ki jih pandemija COVID-19 najbolj prizadene","Należy opracować regionalne i krajowe plany działania uwzględniające specyfikę lokalną, a także wyznaczyć cele na poziomie europejskim w zależności od rozpowszechnienia COVID-19. Należy opracować strategie eliminacji, badań przesiewowych, szczepień, ochrony osób z grupy wysokiego ryzyka oraz wsparcia dla osób najbardziej dotkniętych pandemią COVID-19",
28,It is crucial to clearly communicate the advantage of low SARS-CoV-2 incidence. ,"Es ist entscheidend, das Ziel und den Vorteil von niedrigen Fallzahlen klar zu kommunizieren, um die Kooperation der �ffentlichkeit zu f�rdern.",Comunicare chiaramente l’obiettivo e il vantaggio di un numero basso di casi è cruciale per promuovere la cooperazione pubblica. ,Za pospeševanje javnega sodelovanja je bistvenega pomena jasno komunicirati cilj in prednosti majhnega števila primerov. ,"Istotne jest, aby w jasny sposób komunikować zalety niskiego współczynnika zachorowalności na COVID-19.",
29,"The success of these measures depends crucially on the cooperation and involvement of the public. Making the case for the economic and social benefits of reducing case numbers will, if clearly communicated, greatly foster public cooperation.","Der Erfolg dieser Ma�nahmen h�ngt entscheidend von der Kooperation und Beteiligung der �ffentlichkeit ab. Wenn die wirtschaftlichen und sozialen Vorteile einer Senkung der Fallzahlen klar kommuniziert werden, wird dies die �ffentliche Kooperation stark f�rdern.","Il successo di queste misure dipende in modo chiave dalla cooperazione e dal coinvolgimento della popolazione. Perorare la causa del beneficio economico e sociale derivante dalla riduzione nel numero di casi, grazie a una comunicazione efficace, promuoverà notevolmente la cooperazione pubblica.","Uspeh teh ukrepov je močno odvisen od sodelovanja in vključenosti javnosti. Ukrepanje v korist ekonomskih in socialnih koristi zmanjšanja števila primerov bo, če bo jasno skomunicirano, močno spodbudilo javno sodelovanje.",Powodzenie tych działań zależy przede wszystkim od współpracy ze strony społeczeństwa. Klarowne przedstawienie argumentów przemawiających za korzyściami gospodarczymi i społecznymi wynikającymi z ograniczenia liczby przypadków znacznie ułatwi tę współpracę.,
30,Controlling COVID-19 will become easier: ,Die Kontrolle von COVID-19 wird einfacher werden:,Controllare COVID-19 diventerà più facile: ,Nadzor nad COVID-19 bo vse lažji: ,Opanowanie pandemii COVID-19 stanie się łatwiejsze: ,
31,"In the near future, increased immunization, more testing, and an improved understanding of mitigation strategies will further facilitate the control of SARS-CoV-2.","In naher Zukunft werden steigende Immunisierung, mehr Tests und ein verbessertes Verst�ndnis der Eind�mmungsstrategien die Kontrolle von COVID-19 weiter erleichtern.","Nel prossimo futuro, un’accresciuta immunizzazione, più test e una migliore comprensione delle strategie di mitigazione faciliteranno ulteriormente il controllo di COVID-19.","V bližnji prihodnosti bodo povečana imunizacija, več testiranj in boljše razumevanje strategij za ublažitev olajšali nadzor nad COVID-19.","w niedalekiej przyszłości zwalczanie SARS-CoV-2 będzie jeszcze łatwiejsze dzięki zwiększonej odporności, większej liczbie testów i lepszemu zrozumieniu strategii łagodzenia skutków. ",
32,"We urge governments throughout Europe to agree on clearly formulated common goals, to coordinate their efforts, to develop regionally-adapted strategies to reach the goals, and thereby work resolutely towards low SARS-CoV-2 case numbers.","Wir fordern die Regierungen in ganz Europa auf, sich auf klar formulierte gemeinsame Ziele zu einigen, ihre Anstrengungen zu koordinieren, regional angepasste Strategien zur Erreichung der Ziele zu entwickeln und damit entschlossen auf niedrige Fallzahlen hinzuarbeiten.","Esortiamo i governi di tutta Europa a concordare obiettivi comuni chiaramente formulati, a coordinare i loro sforzi, a sviluppare strategie adattate a livello regionale per raggiungere gli obiettivi, e quindi a lavorare con decisione verso il raggiungimento e il mantenimento di un basso numero di casi.","Pozivamo vlade po vsej Evropi, da se dogovorijo o jasno oblikovanih skupnih ciljih, uskladijo svoja prizadevanja, razvijejo regionalno prilagojene strategije za dosego ciljev, in si tako odločno prizadevajo za močno zmanjšanje števila primerov.","Wzywamy rządy w całej Europie do uzgodnienia jasno sformułowanych, wspólnych celów, do koordynacji starań, do opracowania strategii na rzecz osiągnięcia tych celów z uwzględnieniem uwarunkowań regionalnych, a tym samym do podjęcia zdecydowanych działań na rzecz osiągnięcia niskiej liczby zakażeń SARS-CoV-2.",
33,References,Quellen,Bibliografia,References,References,
